categorie_bis,companies,noms,titre_com,commentaire,reponses,notes,date_experience,date_commentaire,site,nombre_pages,date_scrap,verified,année_experience,mois_experience,jour_experience,année_commentaire,mois_commentaire,jour_commentaire,leadtime_com_exp
bank,Younited Credit Reviews,Annie,Transaction simple et rapide dans le…,Transaction simple et rapide dans le respect du délai.Merci YounitedA.Digouin,Non spécifié,,"Date of experience: May 30, 2024","Jun 4, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,DUPERIER robert,tres efficace rapidite securite…,tres efficace rapidite securite facilement joignable pas trop de doc à fournir,Non spécifié,,"Date of experience: November 13, 2023","Nov 28, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,SOPHIE SZ,"Ease to apply, quick response and funds availability.","Ease to apply, quick response and funds availabilty.",Non spécifié,,"Date of experience: July 01, 2024","Jul 11, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Getifra,Younited Credit a démontré son…,Younited Credit a démontré son professionnalisme dans le montage de mon dossier de financement. Avec mes sincères remerciements.Cordialement votre.,"Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Alexandra",,"Date of experience: July 27, 2023","Aug 5, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Nicole Ratliff,Once again writing a negative review…,"Once again writing a negative review based on their lack of customer service.  It's really unacceptable that emails go unanswered and the one time someone calls me from your company they hang up without even saying anything.  It's ridiculous that this is taking this long to get any assistance.  I have provided documents and explanations for several things and still my file is considered incomplete.  The only thing I get is automated text messages and emails saying my file is incomplete, but then there is no option for me to upload anything.",Non spécifié,,"Date of experience: June 19, 2024","Jun 19, 2024",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Maryse Cabanes,Au top!,La demande en ligne hyper simple!L’accord sous 24h!Les fonds sous 8 j environ .Au top !Merci,"Bonjour,Nous vous remercions d'avoir pris le temps de nous laisser un message.Nous sommes ravis d'avoir pu vous accompagner dans votre projet.Excellente journée,Diane",,"Date of experience: November 09, 2022","Nov 24, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Faizy,Good service,Good service,Non spécifié,,"Date of experience: August 15, 2024","Aug 24, 2024",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Lazarus Jamison,I am yet to confirm the efficiency and…,I am yet to confirm the efficiency and the effectiveness of the Younite professionalism in processing loans. i have just applied recently.,"Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Alexandra",,"Date of experience: April 06, 2023","May 6, 2023",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,M françois GUYOT,SUPER SOCIETE DE CREDITS TRES REACTIVE…,SUPER SOCIETE DE CREDITS TRES REACTIVE sans problêmes merci pour votre pret accorde avec le moins d administratif possible,"Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Diane",,"Date of experience: July 20, 2023","Jul 28, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Catherine,super rapide,"super rapide, efficace et simple ! bravo",Non spécifié,,"Date of experience: June 03, 2024","Jun 14, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Diego,Grace a Younited Credit j'ai pu regeler…,"Grace a Younited Credit j'ai pu regeler mon probleme, merci ennormement pour la rapidité et profesionnalisme!!","Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Alexandra",,"Date of experience: April 24, 2023","May 3, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,dial,BAD AND LOST OF TIME,I have a lot of money in my account and I have NEVER had a problem with my bank account.And they refused me for no reason the useless company payment a waste of time.They grant random payments to the face,"Bonjour, Nous sommes navrés de lire que vous n'êtes pas pleinement satisfait de votre expérience chez Younited. Malheureusement, nous ne pouvons communiquer de façon détaillée sur nos règles d’analyse interne et selon le principe de la liberté contractuelle (article 1101 du code civil).Nous comprenons votre déception, mais espérons que vous comprendrez notre démarche, qui se veut la plus sérieuse et honnête possible.Nous mettons également à votre disposition un de nos partenaires par le biais du mail comprenant la décision de votre dossier afin de vous aider dans votre recherche de financement. Excellente journée",,"Date of experience: July 15, 2024","Jul 15, 2024",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Julien,Simple efficace to très raisonnable,Simple efficace. Et surtout a des to raisonnable.,Non spécifié,,"Date of experience: March 15, 2024","Mar 23, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Stanley,Younited Credit was fast and efficient,Younited Credit was fast and efficient! I have never experience such a super excellent service.,Non spécifié,,"Date of experience: March 22, 2024","Mar 30, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,No comment trustable finance,"Date of experience: October 02, 2022","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,"Date of experience: October 02, 2022","Nov 29, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Tom Tom Laveto,Asks too many additional documents.,"Asks too many additional documents.Although they have the deccision made, still ask you for aditional documents, and you receive email that you are declined in a form of auto reply.Don't waste your time at all!","Bonjour, Tout d’abord, nous vous remercions d’avoir pris le temps de nous laisser un avis.Concernant le délai de traitement de votre dossier, nous ne disposons pas de vos informations personnelles cependant l'étude de votre dossier à en effet probablement été allongé dû à un document manquant.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes navrés de ne pas avoir pu vous accompagner dans votre projet.Excellente journée,Diane",,"Date of experience: September 11, 2023","Sep 11, 2023",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Nico,Good platform but system issues,"Younited is a good platform that offers a fast and reliable initial service, and I cannot deny this.However, I have rated it two (2) stars due to issues I encountered after making an early payment with the ""reduce installment amount"" option. Despite discussing this with customer service, the following month I was supposed to see my installment reduced by approximately €30, but it was not reduced, and I still received the full amount.I await clarification as soon as possible, especially since Younited is aware that I have paid several installments to close the account earlier, and these were higher payments to finish sooner.I urgently await clarification and resolution of this issue.Sincerely,","Good morning,We thank you for taking the time to leave us a comment.We are delighted to have you among our customers, however, we are sorry to read that you are not fully satisfied with your Younited experience.We apologize for the inconvenience caused and we will do everything we can to ensure that your experience at Younited is optimal.Do not hesitate to send us any other comments as customer satisfaction is at the heart of our concerns.Have a great day,",,"Date of experience: June 04, 2024","Updated Aug 27, 2024",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Robert Salamond,Excellent tout point de vue !,"Date of experience: April 29, 2024",Non spécifié,,"Date of experience: April 29, 2024","May 17, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,morris,LA DEMARCHE INTERNET EST SIMPLE ET…,LA DEMARCHE INTERNET EST SIMPLE ET EFFICACE,"Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée, Rekia",,"Date of experience: June 05, 2023","Jun 18, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Excellent ……….,"Date of experience: September 06, 2024",Non spécifié,,"Date of experience: September 06, 2024",6 days agoVerified,https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,MASIA,Simple et rapide,Simple et rapide : efficace,Non spécifié,,"Date of experience: March 26, 2024","Mar 31, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Sillah Ebrima,This is the best!!,"What an amazing, very cool and fast happy to be part of..",Non spécifié,,"Date of experience: May 01, 2024","May 2, 2024",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,LEON,TOP EFFICACE REACTIF,"Date of experience: November 22, 2022","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,"Date of experience: November 22, 2022","Nov 27, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Fou,Service rapide et simple,"Date of experience: January 22, 2024",Non spécifié,,"Date of experience: January 22, 2024","Jan 30, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Sall,Procedure top,"Procedure top, simple et rapide.Tt est nickel. A part les interets qui sont élevés","Bonjour, Nous vous remercions pour votre commentaire et sommes navrés de lire que vous n'êtes pas pleinement satisfait de votre expérience Younited.Le taux d’intérêt dépend du montant emprunté, de la durée, et de votre situation personnelle que vous avez renseigné lors de la simulation de votre demande crédit.Chez Younited, nous nous efforçons de proposer des financements à des taux compétitifs afin de pouvoir accompagner tous nos clients dans leurs projets. Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited.Excellente journée,Tracy",,"Date of experience: May 21, 2023","May 30, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,client,They’re accurate,"They’re accurate, you guys are good 👌","Good morning,Thank you for taking the time to leave us a message.We would prefer you leave a review on your country's Trustpilot Younited page.Excellent day,Audrey",,"Date of experience: March 13, 2022","Mar 14, 2023",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,STEPHANIE RENOUX,Simple rapide et efficace !!,"Date of experience: July 11, 2023","Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Alexandra",,"Date of experience: July 11, 2023","Jul 21, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,BERGER,Excellent contact,"Excellent contact, comprehensif et particulierement agreable et quelle rapidite dans la prise de decision...remarquable en tout point.",Non spécifié,,"Date of experience: September 22, 2022","Oct 11, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Auré,Rapide,"Rapide, simple et efficace","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,"Date of experience: June 06, 2023","Jun 12, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Rapide,"Rapide, simple et efficace","Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Tracy",,"Date of experience: May 23, 2023","May 29, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Nathalie,Rapide,"Rapide, simple et efficace","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Amori",,"Date of experience: June 14, 2023","Jun 23, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Simple,"Simple, rapide et efficace","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Amori",,"Date of experience: April 10, 2023","Apr 19, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Client,Simple rapide et efficace,"Date of experience: May 03, 2023","Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Alexandra",,"Date of experience: May 03, 2023","May 9, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Fedorov,Simple,"Simple, rapide et efficace","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Rekia",,"Date of experience: March 27, 2023","Apr 3, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Patrick,Simple rapide et facile,"Date of experience: May 14, 2023","Bonjour,Nous vous remercions pour ce commentaire positif. En espérant que vous puissiez recommander Younited auprès de votre entourage.Excellente journée,Tracy",,"Date of experience: May 14, 2023","May 21, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Alexandre,Au top,Rapide efficace au top,"Bonjour,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited.Nous vous remercions une nouvelle fois pour votre confiance.Excellente journée,Alexandra",,"Date of experience: August 01, 2023","Aug 10, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Hyper simple rapide et efficace,"Date of experience: February 16, 2023","Bonjour,Nous vous remercions pour ce commentaire positif. En espérant que vous puissiez recommander Younited auprès de votre entourage.Excellente journée,Amori",,"Date of experience: February 16, 2023","Feb 25, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Simple et rapide,Simple et rapide,Non spécifié,,"Date of experience: June 03, 2024","Jun 11, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Rapide efficace,"Rapide efficace,  service clients ai top","Bonjour,Nous vous remercions d'avoir pris le temps de nous laisser un message.Nous sommes ravis d'avoir pu vous accompagner dans votre projet.Excellente journée,Amori",,"Date of experience: February 15, 2023","Feb 21, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Explications claire,"Explications claire, rapidité de mise à disposition des fonds","Bonjour,Nous vous remercions pour ce commentaire positif. En espérant que vous puissiez recommander Younited auprès de votre entourage.Excellente journée,Amori",,"Date of experience: February 28, 2023","Mar 8, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Jawad Benissa,Top very fast and professional,"Date of experience: March 23, 2023","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Rekia",,"Date of experience: March 23, 2023","Apr 3, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,e,Simple rapide,"Simple , rapide , efficace","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,"Date of experience: November 08, 2022","Nov 21, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,ALEX poirel,Simple et rapide,Simple et rapide,Non spécifié,,"Date of experience: May 30, 2024","May 30, 2024",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Great experience with fast service and…,Great experience with fast service and no difficult complex exchanges. Will definitely come back when I have a new project planned for our family.,"Bonjour,Nous vous remercions pour ce commentaire positif.Excellente journée,Audrey",,"Date of experience: September 05, 2022","Sep 5, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Client,Simple efficace rapide et contact…,Simple efficace rapide et contact téléphonique courtois.Ma 3eme expérience positive.Merci,Non spécifié,,"Date of experience: October 12, 2022","Oct 12, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Madame BOULET,Top crédit,"Rapide et efficace , et simple","Bonjour,Nous vous remercions d'avoir pris le temps de nous laisser un message.Nous sommes ravis d'avoir pu vous accompagner dans votre projet.Excellente journée,Diane",,"Date of experience: November 19, 2022","Nov 19, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,CHARLES,Très simple,"Très simple, très efficace",Non spécifié,,"Date of experience: June 12, 2024","Jun 17, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Mourad,Younited tient ces engagements. rapide facile. Bonne alternative.,"Date of experience: May 30, 2023","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Tracy",,"Date of experience: May 30, 2023","Jun 5, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Fatoumata,On me donne un premier avis favorable…,On me donne un premier avis favorable pour ensuite refuser ma demande.,"Bonjour, Nous vous remercions d’avoir pris le temps de nous laisser un commentaire.Nous sommes navrés de lire que vous ne soyez pas pleinement satisfait de votre expérience Younited. Compte tenu des éléments que vous avez renseignés sur notre site, nous ne sommes pas en mesure de donner un avis favorable à votre demande de crédit.Les paramètres nécessaires à l'étude de votre prêt sont nombreux, et étudiés selon la situation individuelle de chacun.Nous vous présentons nos excuses pour la gêne occasionnée. N'hésitez pas à nous faire part d'autres remarques car la satisfaction des clients est au cœur de nos préoccupations.Excellente journée,Amori",,"Date of experience: March 04, 2024","Mar 12, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Makengo,Super 👍👍👍👍👍👍👍👍👍👍💐💐💐💐,"Date of experience: August 25, 2022",Non spécifié,,"Date of experience: August 25, 2022","Aug 25, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=3,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Julie Lutz,Simple rapide efficace,Simple rapide efficace,Non spécifié,,"Date of experience: February 28, 2024","Mar 4, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=4,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,Kim old,Nickel,Younited très simple et très rapide,Non spécifié,,"Date of experience: April 08, 2024","Apr 16, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=4,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,nagaraja perooru,Very fast service,"Date of experience: February 12, 2024",Non spécifié,,"Date of experience: February 12, 2024","Feb 17, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=4,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,non merci,simple rapide efficace,"Date of experience: January 17, 2024",Non spécifié,,"Date of experience: January 17, 2024","Jan 22, 2024Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=4,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,SILVIU-ALIN,Super note 10,"Date of experience: May 09, 2023","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,"Date of experience: May 09, 2023","May 18, 2023Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=4,38,17-09-2024,,,,,,,,
bank,Younited Credit Reviews,cliente,Super facile,"Date of experience: November 21, 2022","Bonjour,Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited, et sommes ravis de lire que celle-ci s’est bien passée.Nous nous efforçons d’offrir à nos clients un crédit aussi juste, simple et rapide que possible et sommes heureux d’avoir pu vous en faire bénéficier.Excellente journée,Audrey",,"Date of experience: November 21, 2022","Nov 21, 2022Verified",https://www.trustpilot.com/review/www.younited-credit.com?page=4,38,17-09-2024,,,,,,,,
